nohup: ignoring input
Deepfashion Consumer-to-shop Attribute prediction using single model
arch           is: Resnet152
gpuId          is: 0
init lr        is: 0.001
num_classs     is: 257
batch size     is: 64
input_size     is: 224
relative_path  is: ../Img/
train_path     is: ../NewAnno/list_bbx_image_attr_train.txt
val_path       is: ../NewAnno/list_bbx_image_attr_val.txt
test_path      is: ../NewAnno/list_bbx_image_attr_test.txt
epochs         is: 50
savePath       is: ./checkpoint/BBX/NewAnno
resume         is: 
momentum       is: 0.9
zeroTrain      is: False
weight_decay   is: 0.0005
print_freq     is: 50
Conv_Type      is: 2
Branch         is: 17
Conv_Num       is: 5
Use GPU!
Start training.
Epoch:  0 lr is: [0.001]
        the 0th batch, loss is: 0.77420938   
       the 50th batch, loss is: 0.24369353   
      the 100th batch, loss is: 0.20768154   
      the 150th batch, loss is: 0.18877223   
      the 200th batch, loss is: 0.17031664   
      the 250th batch, loss is: 0.1715685    
      the 300th batch, loss is: 0.18601407   
      the 350th batch, loss is: 0.16212486   
      the 400th batch, loss is: 0.15601258   
      the 450th batch, loss is: 0.17298555   
      the 500th batch, loss is: 0.16242442   
      the 550th batch, loss is: 0.14908051   
      the 600th batch, loss is: 0.16028081   
      the 650th batch, loss is: 0.14397411   
      the 700th batch, loss is: 0.16439511   
      the 750th batch, loss is: 0.1682947    
      the 800th batch, loss is: 0.16384153   
      the 850th batch, loss is: 0.15185837   
      the 900th batch, loss is: 0.15577638   
      the 950th batch, loss is: 0.15028815   
     the 1000th batch, loss is: 0.15961704   
     the 1050th batch, loss is: 0.15056959   
     the 1100th batch, loss is: 0.15604842   
     the 1150th batch, loss is: 0.15014696   
     the 1200th batch, loss is: 0.16171981   
     the 1250th batch, loss is: 0.1557958    
     the 1300th batch, loss is: 0.15589316   
     the 1350th batch, loss is: 0.16402191   
     the 1400th batch, loss is: 0.15395428   
     the 1450th batch, loss is: 0.16887058   
     the 1500th batch, loss is: 0.15047641   
     the 1550th batch, loss is: 0.16141315   
     the 1600th batch, loss is: 0.1644123    
     the 1650th batch, loss is: 0.15373932   
     the 1700th batch, loss is: 0.14418232   
     the 1750th batch, loss is: 0.15328598   
     the 1800th batch, loss is: 0.14655583   
     the 1850th batch, loss is: 0.16040733   
     the 1900th batch, loss is: 0.1502468    
     the 1950th batch, loss is: 0.16105594   
     the 2000th batch, loss is: 0.14252004   
     the 2050th batch, loss is: 0.15991861   
     the 2100th batch, loss is: 0.15044247   
     the 2150th batch, loss is: 0.14256902   
     the 2200th batch, loss is: 0.14218339   
     the 2250th batch, loss is: 0.14281347   
     the 2300th batch, loss is: 0.14268738   
     the 2350th batch, loss is: 0.15896593   
     the 2400th batch, loss is: 0.13842343   
     the 2450th batch, loss is: 0.15251917   
     the 2500th batch, loss is: 0.14955197   
     the 2550th batch, loss is: 0.14044186   
     the 2600th batch, loss is: 0.14754435   
     the 2650th batch, loss is: 0.14341235   
     the 2700th batch, loss is: 0.15750469   
     the 2750th batch, loss is: 0.13529353   
     the 2800th batch, loss is: 0.14897434   
     the 2850th batch, loss is: 0.14212906   
     the 2900th batch, loss is: 0.15193564   
     the 2950th batch, loss is: 0.15408944   
Epoch:  1 lr is: [0.001]
     the 3000th batch, loss is: 0.12938613   
     the 3050th batch, loss is: 0.13739316   
     the 3100th batch, loss is: 0.15852834   
     the 3150th batch, loss is: 0.14097157   
     the 3200th batch, loss is: 0.14666162   
     the 3250th batch, loss is: 0.16009144   
     the 3300th batch, loss is: 0.14763539   
     the 3350th batch, loss is: 0.12210995   
     the 3400th batch, loss is: 0.13652401   
     the 3450th batch, loss is: 0.13943291   
     the 3500th batch, loss is: 0.14270739   
     the 3550th batch, loss is: 0.14714241   
     the 3600th batch, loss is: 0.15402468   
     the 3650th batch, loss is: 0.13465156   
     the 3700th batch, loss is: 0.13287772   
     the 3750th batch, loss is: 0.13822202   
     the 3800th batch, loss is: 0.14011173   
     the 3850th batch, loss is: 0.1254165    
     the 3900th batch, loss is: 0.13423306   
     the 3950th batch, loss is: 0.13685335   
     the 4000th batch, loss is: 0.12902242   
     the 4050th batch, loss is: 0.14321172   
     the 4100th batch, loss is: 0.160172     
     the 4150th batch, loss is: 0.14008549   
     the 4200th batch, loss is: 0.15236437   
