nohup: ignoring input
Deepfashion Consumer-to-shop Attribute prediction using single model
arch           is: Resnet152
gpuId          is: 1
init lr        is: 0.001
num_classs     is: 257
batch size     is: 64
input_size     is: 224
relative_path  is: ../Img/
train_path     is: ../NewAnno/list_bbx_image_attr_train.txt
val_path       is: ../NewAnno/list_bbx_image_attr_val.txt
test_path      is: ../NewAnno/list_bbx_image_attr_test.txt
epochs         is: 50
savePath       is: ./checkpoint/BBX/NewAnnoCleaned
resume         is: 
momentum       is: 0.9
zeroTrain      is: False
weight_decay   is: 0.0005
print_freq     is: 50
Conv_Type      is: 2
Branch         is: 17
Conv_Num       is: 5
Use GPU!
Start training.
('Epoch: ', 0, 'lr is: [0.001]')
        the 0th batch, loss is: 1.19982612   
       the 50th batch, loss is: 0.48570153   
      the 100th batch, loss is: 0.50484085   
      the 150th batch, loss is: 0.44349223   
      the 200th batch, loss is: 0.45261979   
      the 250th batch, loss is: 0.45625845   
      the 300th batch, loss is: 0.47584724   
      the 350th batch, loss is: 0.37364149   
      the 400th batch, loss is: 0.39261082   
      the 450th batch, loss is: 0.43871796   
      the 500th batch, loss is: 0.35875562   
      the 550th batch, loss is: 0.38898972   
      the 600th batch, loss is: 0.37436792   
      the 650th batch, loss is: 0.41433015   
      the 700th batch, loss is: 0.44149256   
      the 750th batch, loss is: 0.40713453   
      the 800th batch, loss is: 0.39399919   
      the 850th batch, loss is: 0.40560248   
      the 900th batch, loss is: 0.40796202   
      the 950th batch, loss is: 0.37891009   
     the 1000th batch, loss is: 0.42134324   
     the 1050th batch, loss is: 0.36783826   
     the 1100th batch, loss is: 0.41923451   
     the 1150th batch, loss is: 0.37522423   
     the 1200th batch, loss is: 0.34385249   
     the 1250th batch, loss is: 0.40683696   
     the 1300th batch, loss is: 0.40687233   
     the 1350th batch, loss is: 0.37760308   
     the 1400th batch, loss is: 0.42758575   
     the 1450th batch, loss is: 0.35236579   
     the 1500th batch, loss is: 0.42235348   
     the 1550th batch, loss is: 0.38629001   
     the 1600th batch, loss is: 0.38151067   
     the 1650th batch, loss is: 0.34136984   
     the 1700th batch, loss is: 0.36061558   
     the 1750th batch, loss is: 0.38602632   
     the 1800th batch, loss is: 0.42291534   
     the 1850th batch, loss is: 0.37475404   
     the 1900th batch, loss is: 0.37278384   
     the 1950th batch, loss is: 0.38814873   
     the 2000th batch, loss is: 0.33694461   
     the 2050th batch, loss is: 0.38100475   
     the 2100th batch, loss is: 0.34293488   
     the 2150th batch, loss is: 0.40398681   
     the 2200th batch, loss is: 0.35659152   
     the 2250th batch, loss is: 0.39360809   
     the 2300th batch, loss is: 0.3454051    
     the 2350th batch, loss is: 0.33863121   
     the 2400th batch, loss is: 0.37228981   
     the 2450th batch, loss is: 0.37224957   
     the 2500th batch, loss is: 0.36201909   
     the 2550th batch, loss is: 0.41125882   
     the 2600th batch, loss is: 0.36641905   
     the 2650th batch, loss is: 0.36132923   
     the 2700th batch, loss is: 0.36086777   
     the 2750th batch, loss is: 0.38652539   
     the 2800th batch, loss is: 0.34608513   
     the 2850th batch, loss is: 0.38392836   
     the 2900th batch, loss is: 0.39268839   
     the 2950th batch, loss is: 0.39585954   
('Epoch: ', 1, 'lr is: [0.001]')
     the 3000th batch, loss is: 0.38083249   
     the 3050th batch, loss is: 0.35469824   
     the 3100th batch, loss is: 0.34752887   
     the 3150th batch, loss is: 0.42551479   
     the 3200th batch, loss is: 0.3404637    
     the 3250th batch, loss is: 0.33490372   
     the 3300th batch, loss is: 0.37096739   
     the 3350th batch, loss is: 0.3481198    
     the 3400th batch, loss is: 0.38349184   
     the 3450th batch, loss is: 0.34810749   
     the 3500th batch, loss is: 0.30328205   
     the 3550th batch, loss is: 0.30867746   
     the 3600th batch, loss is: 0.32677448   
     the 3650th batch, loss is: 0.36268738   
     the 3700th batch, loss is: 0.29378003   
     the 3750th batch, loss is: 0.34872445   
     the 3800th batch, loss is: 0.35330242   
     the 3850th batch, loss is: 0.34709507   
     the 3900th batch, loss is: 0.32602444   
     the 3950th batch, loss is: 0.31973788   
     the 4000th batch, loss is: 0.31380555   
     the 4050th batch, loss is: 0.33033204   
     the 4100th batch, loss is: 0.36396235   
     the 4150th batch, loss is: 0.33743694   
     the 4200th batch, loss is: 0.28523514   
     the 4250th batch, loss is: 0.3375611    
     the 4300th batch, loss is: 0.33297428   
     the 4350th batch, loss is: 0.30842355   
     the 4400th batch, loss is: 0.31592837   
     the 4450th batch, loss is: 0.34550521   
     the 4500th batch, loss is: 0.33870241   
     the 4550th batch, loss is: 0.33973226   
     the 4600th batch, loss is: 0.38876966   
     the 4650th batch, loss is: 0.38799173   
     the 4700th batch, loss is: 0.34527123   
     the 4750th batch, loss is: 0.30821854   
     the 4800th batch, loss is: 0.3096948    
     the 4850th batch, loss is: 0.3024053    
     the 4900th batch, loss is: 0.34274852   
     the 4950th batch, loss is: 0.33167553   
     the 5000th batch, loss is: 0.30073899   
     the 5050th batch, loss is: 0.34656909   
     the 5100th batch, loss is: 0.33651292   
     the 5150th batch, loss is: 0.36469093   
     the 5200th batch, loss is: 0.34688997   
     the 5250th batch, loss is: 0.33829162   
     the 5300th batch, loss is: 0.35296795   
     the 5350th batch, loss is: 0.33957151   
     the 5400th batch, loss is: 0.34746534   
     the 5450th batch, loss is: 0.35745114   
     the 5500th batch, loss is: 0.38944805   
     the 5550th batch, loss is: 0.30796576   
     the 5600th batch, loss is: 0.3606405    
     the 5650th batch, loss is: 0.3261123    
     the 5700th batch, loss is: 0.35814297   
     the 5750th batch, loss is: 0.38389021   
     the 5800th batch, loss is: 0.32922941   
     the 5850th batch, loss is: 0.33519629   
     the 5900th batch, loss is: 0.32721382   
     the 5950th batch, loss is: 0.32651639   
('Epoch: ', 2, 'lr is: [0.001]')
